Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2021-04-11;13,00;60,67;2,17;4,33;2,17;2,00;5,00;2,00;4,00;2,00;1,00;2,00;1,00
2021-04-18;11,00;77,00;2,75;2,75;5,50;5,00;7,00;2,00;4,00;4,00;2,00;1,00;1,00
2021-04-25;11,00;82,50;2,75;2,75;5,50;2,00;6,00;2,00;4,00;4,00;2,00;1,00;1,00
2021-05-02;17,00;79,33;5,67;2,83;5,67;5,00;8,00;4,00;4,00;3,00;1,00;1,00;1,00
2021-05-09;13,00;65,00;4,33;4,33;4,33;5,00;6,00;3,00;4,00;3,00;2,00;1,00;1,00
2021-05-16;15,00;90,00;2,50;5,00;10,00;4,00;4,00;2,00;3,00;2,00;2,00;2,00;1,00
2021-05-23;17,00;107,67;5,67;5,67;5,67;5,00;8,00;2,00;5,00;2,00;1,00;1,00;1,00
2021-05-30;13,00;73,67;4,33;2,17;4,33;7,00;7,00;3,00;4,00;2,00;3,00;1,00;1,00
2021-06-06;14,00;79,33;4,67;2,33;4,67;5,00;7,00;2,00;3,00;3,00;4,00;1,00;0,50
2021-06-13;18,00;81,00;4,50;2,25;4,50;9,00;7,00;2,00;4,00;2,00;2,00;1,00;1,00
2021-06-20;17,00;85,00;4,25;4,25;4,25;10,00;7,00;4,00;7,00;1,00;3,00;1,00;0,00
2021-06-27;13,00;86,67;4,33;2,17;4,33;7,00;8,00;4,00;4,00;4,00;2,00;1,00;1,00
2021-07-04;26,00;124,80;5,20;5,20;10,40;10,00;10,00;3,00;7,00;5,00;4,00;1,00;1,00
2021-07-11;23,00;119,60;4,60;4,60;4,60;9,00;11,00;4,00;4,00;3,00;2,00;2,00;2,00
2021-07-18;21,00;110,25;5,25;5,25;5,25;5,00;11,00;2,00;5,00;2,00;4,00;1,00;1,00
