Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2021-05-16;45,00;41,40;41,40;86,40;3,60;4,00;8,00;15,00;0,00
2021-05-23;40,00;49,09;43,64;69,09;3,64;4,00;4,00;8,00;8,00
2021-05-30;16,00;30,22;3,56;65,78;0,00;4,00;0,00;0,00;0,00
2021-06-06;19,00;25,91;3,45;58,73;3,45;0,00;8,00;4,00;4,00
2021-06-13;35,00;35,00;19,25;84,00;3,50;8,00;12,00;16,00;4,00
2021-06-20;65,00;49,19;15,81;65,00;7,03;11,00;4,00;11,00;8,00
2021-06-27;54,00;43,20;23,40;39,60;3,60;4,00;4,00;4,00;8,00
2021-07-04;49,00;45,37;36,30;81,67;0,00;8,00;16,00;4,00;8,00
2021-07-11;54,00;41,40;16,20;50,40;3,60;4,00;8,00;8,00;0,00
2021-07-18;33,00;38,50;38,50;77,00;0,00;14,00;9,00;9,00;5,00
2021-07-25;27,00;48,60;39,60;86,40;0,00;0,00;9,00;18,00;0,00
2021-08-01;49,00;58,07;12,70;94,37;0,00;9,00;0,00;9,00;4,00
2021-08-08;54,00;68,40;45,00;86,40;9,00;9,00;9,00;18,00;4,00
2021-08-15;63,00;41,40;25,20;88,20;0,00;4,00;0,00;17,00;4,00
2021-08-22;44,00;29,92;26,40;65,12;3,52;0,00;4,00;13,00;0,00
2021-08-29;42,00;36,75;15,75;66,50;0,00;0,00;17,00;8,00;8,00
2021-09-05;39,00;30,14;39,00;67,36;0,00;0,00;4,00;8,00;4,00
2021-09-12;29,00;34,44;16,31;76,13;0,00;4,00;4,00;8,00;0,00
2021-09-19;45,00;32,40;32,40;79,20;9,00;12,00;0,00;8,00;12,00
2021-09-26;25,00;53,57;16,07;83,93;0,00;8,00;0,00;12,00;4,00
2021-10-03;25,00;76,79;21,43;80,36;0,00;8,00;13,00;13,00;4,00
2021-10-10;9,00;63,00;39,60;102,60;9,00;4,00;9,00;31,00;4,00
2021-10-17;43,00;77,04;25,08;98,54;0,00;4,00;0,00;8,00;4,00
2021-10-24;25,00;67,86;28,57;87,50;3,57;4,00;17,00;0,00;4,00
2021-10-31;29,00;67,06;41,69;70,69;0,00;12,00;8,00;8,00;0,00
2021-11-07;33,00;67,74;15,63;97,26;8,68;16,00;13,00;24,00;8,00
2021-11-14;29,00;58,00;9,06;88,81;0,00;0,00;8,00;8,00;0,00
2021-11-21;32,00;177,78;51,56;71,11;0,00;12,00;4,00;16,00;0,00
2021-11-28;20,00;76,36;16,36;112,73;3,64;12,00;12,00;12,00;0,00
2021-12-05;24,00;39,43;12,00;73,71;0,00;4,00;8,00;8,00;4,00
2021-12-12;8,00;48,00;14,40;97,60;0,00;8,00;0,00;8,00;21,00
2021-12-19;39,00;44,32;19,50;67,36;0,00;5,00;0,00;10,00;10,00
2021-12-26;56,00;72,26;30,71;83,10;0,00;5,00;0,00;10,00;5,00
2022-01-02;44,00;84,33;36,67;133,83;3,67;26,00;13,00;9,00;9,00
2022-01-09;34,00;68,00;30,42;89,47;3,58;17,00;4,00;0,00;4,00
2022-01-16;63,00;43,20;30,60;81,00;0,00;8,00;4,00;21,00;8,00
2022-01-23;47,00;84,96;9,04;68,69;0,00;13,00;9,00;0,00;13,00
2022-01-30;70,00;52,05;39,49;118,46;3,59;17,00;4,00;4,00;9,00
2022-02-06;40,00;40,00;26,09;60,87;8,70;27,00;0,00;13,00;0,00
2022-02-13;49,00;45,37;49,00;72,59;0,00;4,00;4,00;9,00;4,00
2022-02-20;43,00;57,33;43,00;96,75;3,58;4,00;13,00;13,00;4,00
2022-02-27;45,00;45,00;36,00;70,20;5,40;10,00;5,00;5,00;5,00
