Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-29;43,00;4,00;0,00;4,00;2,00;2,00;1,00;1,00;1,00;4,00;2,00;1,00;4,00;0,00;2,00;0,00;2,00;0,00;1,00;1,00;5,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-06;52,00;1,00;2,00;1,00;2,00;1,00;0,00;0,00;1,00;6,00;2,00;7,00;2,00;0,00;1,00;1,00;1,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;57,00;5,00;2,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;5,00;1,00;4,00;0,00;0,00;1,00;4,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;60,00;1,00;3,00;1,00;1,00;2,00;3,00;5,00;0,00;6,00;2,00;2,00;6,00;0,00;5,00;1,00;1,00;0,00;1,00;0,00;11,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00
2019-10-27;57,00;2,00;4,00;1,00;1,00;0,00;1,00;7,00;0,00;2,00;7,00;1,00;1,00;0,00;6,00;0,00;2,00;0,00;0,00;2,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;40,00;7,00;1,00;2,00;3,00;1,00;1,00;3,00;5,00;6,00;6,00;3,00;2,00;0,00;1,00;1,00;5,00;0,00;1,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;38,00;3,00;1,00;0,00;10,00;2,00;1,00;8,00;2,00;5,00;5,00;5,00;3,00;0,00;2,00;0,00;2,00;0,00;1,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-11-17;55,00;6,00;5,00;2,00;3,00;3,00;1,00;3,00;0,00;5,00;6,00;6,00;5,00;0,00;0,00;0,00;1,00;1,00;3,00;1,00;8,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;42,00;4,00;3,00;2,00;7,00;2,00;2,00;11,00;4,00;13,00;6,00;6,00;3,00;1,00;2,00;1,00;2,00;0,00;1,00;1,00;6,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;60,00;6,00;9,00;0,00;5,00;3,00;3,00;8,00;1,00;10,00;7,00;5,00;10,00;1,00;8,00;2,00;7,00;0,00;2,00;3,00;10,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
