Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-11-01;30,00;19,00;0,00;4,00;4,00;4,09;8,18;31,36;0,00
2020-11-08;20,00;20,00;0,00;20,00;0,00;8,00;0,00;24,00;8,00
2020-11-15;15,00;0,00;8,00;27,00;4,00;3,75;3,75;7,50;3,75
2020-11-22;11,00;15,00;19,00;11,00;4,00;7,33;3,67;13,44;0,00
2020-11-29;24,00;20,00;16,00;24,00;0,00;0,00;0,00;8,00;4,00
2020-12-06;20,00;12,00;20,00;8,00;4,00;0,00;0,00;16,00;4,00
2020-12-13;16,00;20,00;4,00;63,00;0,00;4,00;0,00;34,67;4,00
2020-12-20;30,00;13,00;0,00;59,00;8,00;0,00;4,09;25,91;0,00
2020-12-27;29,00;34,00;4,00;67,00;0,00;7,91;3,95;11,86;7,91
2021-01-03;30,00;23,00;11,00;30,00;0,00;4,09;0,00;23,18;4,09
2021-01-10;34,00;26,00;8,00;49,00;8,00;4,08;0,00;0,00;8,16
2021-01-17;45,00;15,00;11,00;11,00;0,00;10,91;8,18;38,18;4,09
2021-01-24;19,00;19,00;11,00;19,00;0,00;4,07;8,14;8,14;4,07
2021-01-31;27,00;27,00;8,00;27,00;0,00;14,85;10,80;31,05;8,10
2021-02-07;24,00;20,00;8,00;20,00;4,00;4,00;0,00;32,00;8,00
2021-02-14;31,00;27,00;12,00;16,00;4,00;0,00;4,04;26,96;4,04
2021-02-21;16,00;16,00;4,00;4,00;4,00;8,00;0,00;20,00;0,00
2021-02-28;11,00;0,00;0,00;23,00;4,00;3,67;0,00;13,44;11,00
2021-03-07;30,00;26,00;8,00;19,00;7,00;8,18;8,18;27,27;4,09
2021-03-14;32,00;18,00;14,00;14,00;0,00;0,00;6,67;24,00;4,00
2021-03-21;15,00;19,00;8,00;19,00;0,00;0,00;0,00;38,18;0,00
2021-03-28;28,00;20,00;4,00;8,00;0,00;12,00;4,00;32,00;8,00
2021-04-04;31,00;15,00;15,00;27,00;0,00;0,00;0,00;49,87;4,04
2021-04-11;20,00;8,00;0,00;8,00;4,00;4,00;8,00;26,67;4,00
2021-04-18;12,00;20,00;0,00;16,00;0,00;4,00;0,00;36,00;12,00
2021-04-25;20,00;12,00;0,00;12,00;0,00;4,00;4,00;24,00;0,00
2021-05-02;19,00;8,00;0,00;15,00;0,00;4,07;4,07;31,21;4,07
