Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-08-18;49,00;21,44;30,63;21,44;39,81;27,22;21,78;38,11;10,89;10,00;7,00;21,00;21,00;28,00;25,00;23,00;11,00;18,00;11,00;32,00;7,00;0,00;0,00;11,00;4,00;11,00;14,00;7,00;7,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;27,00;9,00;18,00;27,00;12,00;23,40;16,20;27,00;3,60;10,00;17,00;13,00;17,00;10,00;13,00;4,00;7,00;14,00;0,00;44,00;3,00;0,00;3,00;7,00;0,00;7,00;17,00;0,00;7,00;3,00;0,00;3,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-01;36,00;22,91;9,82;19,64;26,18;28,80;19,80;27,00;19,80;10,00;7,00;10,00;20,00;16,00;3,00;7,00;20,00;7,00;10,00;10,00;3,00;3,00;16,00;13,00;0,00;3,00;13,00;7,00;7,00;7,00;7,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;50,00;53,13;34,38;31,25;18,75;30,36;35,71;55,36;46,43;17,00;20,00;27,00;13,00;13,00;20,00;4,00;3,00;17,00;13,00;20,00;10,00;10,00;20,00;13,00;3,00;10,00;13,00;3,00;10,00;3,00;0,00;10,00;7,00;3,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-15;33,00;39,60;39,60;9,90;26,40;33,00;23,83;53,17;33,00;7,00;20,00;23,00;26,00;10,00;16,00;7,00;16,00;16,00;7,00;0,00;10,00;3,00;7,00;7,00;3,00;3,00;7,00;7,00;7,00;3,00;13,00;0,00;0,00;3,00;7,00;0,00;3,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-09-22;16,00;32,00;54,40;19,20;35,20;32,00;21,33;19,56;21,33;16,00;6,00;16,00;19,00;19,00;19,00;10,00;16,00;10,00;10,00;0,00;10,00;0,00;3,00;19,00;6,00;0,00;3,00;6,00;10,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;7,00;3,00;3,00;0,00;0,00;0,00
2019-09-29;22,00;25,14;28,29;40,86;44,00;42,17;18,33;25,67;38,50;13,00;13,00;16,00;9,00;6,00;9,00;10,00;22,00;9,00;6,00;13,00;6,00;9,00;9,00;16,00;3,00;3,00;3,00;13,00;13,00;13,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;25,00;31,25;50,00;62,50;34,38;17,86;37,50;39,29;25,00;22,00;37,00;19,00;9,00;37,00;19,00;7,00;25,00;19,00;6,00;9,00;6,00;12,00;3,00;19,00;0,00;6,00;6,00;6,00;3,00;3,00;3,00;9,00;6,00;0,00;3,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;28,00;28,00;28,00;28,00;34,22;40,25;17,50;33,25;24,50;31,00;25,00;16,00;13,00;19,00;6,00;10,00;19,00;9,00;13,00;9,00;19,00;3,00;6,00;13,00;3,00;6,00;6,00;3,00;0,00;3,00;9,00;3,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;47,00;53,27;34,47;34,47;37,60;25,31;18,08;18,08;30,73;16,00;16,00;28,00;16,00;13,00;13,00;3,00;16,00;19,00;6,00;6,00;9,00;6,00;9,00;16,00;0,00;3,00;6,00;6,00;9,00;6,00;3,00;13,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-10-27;42,00;51,69;38,77;32,31;32,31;23,74;40,17;29,22;29,22;32,00;13,00;10,00;13,00;29,00;13,00;11,00;10,00;10,00;19,00;19,00;3,00;10,00;10,00;6,00;0,00;13,00;6,00;10,00;10,00;3,00;10,00;13,00;0,00;6,00;6,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;21,00;48,00;45,00;24,00;45,00;47,25;35,00;29,75;26,25;27,00;18,00;31,00;18,00;21,00;12,00;20,00;9,00;34,00;9,00;12,00;24,00;6,00;6,00;18,00;6,00;9,00;15,00;3,00;21,00;12,00;9,00;3,00;6,00;3,00;3,00;0,00;6,00;3,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;31,00;31,00;31,00;49,60;37,20;34,65;43,76;41,94;31,00;31,00;19,00;38,00;16,00;25,00;25,00;31,00;28,00;25,00;13,00;9,00;22,00;9,00;0,00;9,00;0,00;6,00;16,00;3,00;13,00;16,00;9,00;6,00;0,00;0,00;3,00;9,00;0,00;0,00;3,00;6,00;3,00;0,00;0,00;3,00
2019-11-17;38,00;66,50;44,33;34,83;69,67;25,33;56,10;50,67;38,00;31,00;19,00;41,00;25,00;6,00;16,00;28,00;22,00;22,00;28,00;13,00;6,00;3,00;13,00;6,00;0,00;0,00;16,00;16,00;6,00;9,00;3,00;0,00;6,00;0,00;0,00;9,00;6,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-11-24;18,00;57,00;45,00;36,00;42,00;36,00;39,60;18,00;36,00;33,00;15,00;33,00;12,00;21,00;12,00;10,00;6,00;27,00;33,00;6,00;15,00;3,00;18,00;18,00;3,00;18,00;12,00;12,00;0,00;9,00;6,00;3,00;12,00;3,00;3,00;9,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-12-01;44,00;50,29;53,43;66,00;31,43;38,50;29,33;29,33;40,33;25,00;28,00;19,00;13,00;13,00;31,00;14,00;35,00;13,00;19,00;31,00;22,00;13,00;22,00;31,00;0,00;16,00;0,00;3,00;13,00;3,00;3,00;0,00;0,00;13,00;9,00;0,00;9,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;33,00;48,00;39,00;48,00;48,00;36,67;53,17;23,83;36,67;27,00;36,00;33,00;9,00;12,00;12,00;30,00;21,00;30,00;12,00;27,00;15,00;0,00;15,00;9,00;3,00;12,00;3,00;0,00;9,00;15,00;12,00;6,00;9,00;6,00;9,00;12,00;9,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;45,00;67,50;54,64;80,36;83,57;63,00;72,00;50,40;63,00;27,00;42,00;39,00;21,00;45,00;24,00;27,00;36,00;18,00;12,00;39,00;18,00;6,00;12,00;18,00;0,00;9,00;9,00;9,00;15,00;15,00;9,00;9,00;6,00;12,00;0,00;0,00;0,00;6,00;6,00;3,00;0,00;0,00;3,00;0,00
2019-12-22;60,00;85,26;66,32;56,84;53,68;43,64;67,27;47,27;76,36;63,00;40,00;27,00;23,00;30,00;46,00;18,00;27,00;20,00;27,00;23,00;13,00;10,00;7,00;3,00;0,00;24,00;23,00;13,00;33,00;10,00;3,00;3,00;7,00;7,00;10,00;10,00;7,00;7,00;4,00;0,00;3,00;0,00;0,00;0,00
