Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-07-28;75,00;0,00;4,25;4,25;25,47;4,29;1,07;6,43;0,00;6,00;0,00;22,00;1,00;6,00;18,00;6,00;6,00;10,00;0,00;4,00;10,00;0,00;0,00;4,00;0,00;3,00;1,00;3,00;10,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;77,00;4,28;2,85;1,43;15,69;3,21;0,00;4,28;0,00;4,00;0,00;25,00;0,00;4,00;10,00;3,00;7,00;3,00;1,00;1,00;6,00;0,00;1,00;3,00;1,00;0,00;3,00;0,00;6,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;79,00;4,31;2,87;2,87;18,67;2,16;2,16;7,58;0,00;6,00;3,00;11,00;1,00;3,00;13,00;8,00;6,00;5,00;0,00;0,00;4,00;0,00;0,00;3,00;1,00;1,00;1,00;1,00;10,00;1,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;84,00;0,00;4,27;1,42;19,93;7,54;2,15;3,23;0,00;1,00;0,00;12,00;1,00;7,00;6,00;10,00;10,00;1,00;0,00;2,00;2,00;0,00;1,00;1,00;1,00;2,00;1,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;74,00;0,00;2,85;0,00;12,81;6,43;1,07;1,07;0,00;2,00;0,00;5,00;0,00;6,00;12,00;7,00;7,00;9,00;0,00;0,00;4,00;1,00;0,00;5,00;1,00;0,00;1,00;1,00;5,00;0,00;0,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;71,00;1,42;0,00;0,00;17,04;1,08;1,08;3,23;0,00;1,00;1,00;10,00;0,00;2,00;9,00;2,00;8,00;3,00;0,00;7,00;3,00;0,00;1,00;2,00;1,00;0,00;0,00;4,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-09-08;64,00;2,84;2,84;0,00;14,22;2,13;1,07;2,13;1,07;6,00;0,00;16,00;1,00;2,00;12,00;1,00;8,00;7,00;0,00;1,00;7,00;4,00;1,00;2,00;0,00;1,00;2,00;3,00;1,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;42,00;2,80;7,00;0,00;16,80;0,00;1,05;0,00;1,05;1,00;1,00;16,00;1,00;7,00;8,00;2,00;4,00;4,00;0,00;4,00;1,00;0,00;0,00;2,00;0,00;0,00;1,00;4,00;2,00;0,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-22;53,00;2,86;2,86;1,43;17,19;4,33;1,08;6,49;0,00;2,00;1,00;10,00;0,00;6,00;4,00;1,00;4,00;4,00;0,00;1,00;1,00;1,00;0,00;5,00;0,00;1,00;1,00;5,00;8,00;0,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;43,00;4,16;0,00;4,16;13,87;2,10;2,10;2,10;1,05;1,00;1,00;7,00;1,00;4,00;11,00;2,00;1,00;4,00;0,00;2,00;1,00;1,00;0,00;2,00;0,00;1,00;1,00;5,00;4,00;1,00;6,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-06;52,00;1,41;2,81;1,41;15,46;2,12;1,06;0,00;0,00;0,00;1,00;12,00;0,00;6,00;12,00;2,00;7,00;2,00;0,00;1,00;2,00;0,00;1,00;1,00;0,00;2,00;1,00;1,00;7,00;0,00;7,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;57,00;4,28;2,85;0,00;14,25;2,11;1,06;3,17;0,00;1,00;0,00;10,00;1,00;0,00;8,00;5,00;1,00;4,00;0,00;0,00;0,00;0,00;1,00;4,00;0,00;1,00;1,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;60,00;1,43;2,86;1,43;18,57;1,07;2,14;4,29;3,21;5,00;0,00;15,00;0,00;6,00;13,00;2,00;2,00;6,00;0,00;5,00;3,00;0,00;1,00;1,00;0,00;1,00;0,00;11,00;5,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-10-27;57,00;2,85;4,28;1,43;24,23;1,08;0,00;3,23;1,08;7,00;0,00;16,00;1,00;2,00;2,00;7,00;1,00;1,00;0,00;6,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;8,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;40,00;7,14;1,43;2,86;21,43;3,24;1,08;1,08;1,08;3,00;5,00;15,00;1,00;6,00;7,00;6,00;3,00;2,00;0,00;1,00;2,00;0,00;1,00;5,00;0,00;1,00;1,00;2,00;6,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
