Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2021-11-14;37,00;13,00;13,00;17,00;24,00;6,00;10,00;17,00;7,00
2021-11-21;44,00;14,00;11,00;11,00;19,00;4,00;6,00;19,00;11,00
2021-11-28;42,00;15,00;9,00;12,00;26,00;4,00;9,00;16,00;8,00
2021-12-05;60,00;17,00;17,00;14,00;17,00;5,00;7,00;19,00;6,00
2021-12-12;43,00;20,00;13,00;17,00;13,00;5,00;5,00;22,00;6,00
2021-12-19;67,00;11,00;13,00;15,00;13,00;4,00;9,00;15,00;7,00
2021-12-26;67,00;29,00;16,00;18,00;15,00;6,00;23,00;22,00;7,00
2022-01-02;65,00;28,00;18,00;24,00;26,00;6,00;25,00;28,00;6,00
2022-01-09;54,00;26,00;27,00;22,00;20,00;4,00;17,00;33,00;5,00
2022-01-16;54,00;20,00;23,00;22,00;26,00;7,00;17,00;34,00;4,00
2022-01-23;67,00;29,00;15,00;28,00;24,00;5,00;27,00;35,00;5,00
2022-01-30;60,00;28,00;24,00;25,00;33,00;6,00;18,00;25,00;5,00
2022-02-06;69,00;14,00;29,00;19,00;31,00;6,00;15,00;22,00;5,00
2022-02-13;72,00;28,00;14,00;22,00;29,00;11,00;19,00;18,00;5,00
2022-02-20;52,00;19,00;18,00;16,00;33,00;6,00;29,00;18,00;5,00
2022-02-27;30,00;30,00;30,00;14,00;30,00;9,00;17,00;16,00;5,00
